country,population,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey
Nepal,24707,944.6,113.8,8.3,94.9,9.8,12.3,0.1,1.6,0.2,2.9,1.2,10.9
Netherlands,15947,43.6,2.8,15.1,1012.3,99.5,85.3,6.9,1.2,16.7,172.8,3.1,6.5
New Caledonia,217,550.6,0.2,35.8,1100.4,118.1,79.5,0.0,0.0,10.1,100.1,0.0,0.0
New Zealand,3906,477.3,62.1,23.0,720.0,49.1,35.3,2.1,8.1,9.3,102.5,26.1,73.8
Nicaragua,5125,682.6,26.2,16.0,104.6,19.4,12.2,0.2,4.4,0.8,8.6,3.7,33.4
Niger,11272,3351.9,63.7,4.9,59.1,22.6,7.4,0.0,0.4,0.1,0.5,0.8,7.2
Nigeria,126649,1147.3,10.9,5.5,43.9,11.5,7.4,0.1,1.6,0.1,0.7,1.3,12.0
Norway,4502,344.7,2.0,12.1,678.8,87.7,55.8,8.5,33.5,13.2,134.7,11.1,40.7
Occ. Palestinian Terr.,3221,788.8,114.0,0.0,30.1,6.6,39.7,1.1,20.1,0.1,0.8,5.3,48.0
Pakistan,149802,535.5,403.6,136.7,191.7,15.0,8.1,0.8,15.9,0.1,1.8,2.2,19.6
Panama,2979,747.2,18.2,53.3,311.5,32.1,44.1,0.5,3.7,2.5,26.6,18.5,105.5
Paraguay,5407,1789.1,39.7,45.9,26.1,11.0,4.4,0.3,5.4,1.2,13.9,1.8,15.3
Peru,26158,502.4,126.1,55.8,307.8,15.4,21.7,2.8,13.9,0.7,7.5,6.4,27.5
Philippines,78473,994.4,42.8,47.4,133.0,25.7,21.7,1.7,30.7,0.4,5.3,7.5,67.1
Poland,38408,778.0,1.7,151.8,232.6,36.2,23.6,11.4,80.2,4.0,50.0,5.5,30.4
Portugal,10278,696.3,147.2,61.0,1157.9,196.9,95.6,4.2,25.7,4.4,46.4,10.5,59.4
Romania,22089,1183.2,24.0,58.6,161.5,34.9,17.5,7.7,99.8,2.5,32.8,7.7,58.5
Russian Federation,146082,1374.8,43.1,49.7,174.1,38.7,10.5,3.6,59.4,0.4,5.6,9.2,82.6
Rwanda,7736,775.2,2.5,0.5,24.4,5.3,6.1,0.1,1.3,0.1,0.9,0.5,4.2
Saint Kitts and Nevis,46.4,593.4,0.2,1.2,706.7,116.7,86.4,0.0,0.0,11.2,115.9,0.0,0.0
